Time &Domain0 &Domain1 &Domain2 &Domain3
24.5108670589 0.51446945 0.2347103682 0 0.2508201819
25.113931618 0.51446945 0.2347103682 0 0.2508201819
26.0022671692 0.51446945 0.2347103682 0 0.2508201819
27.0453176163 0.51446945 0.2347103682 0 0.2508201819
28.3605887351 0.51446945 0.2347103682 0 0.2508201819
29.1162855258 0.51446945 0.2347103682 0 0.2508201819
30.0359406447 0.51446945 0.2347103682 0 0.2508201819
31.039560722 0.51446945 0.2347103682 0 0.2508201819
32.0669164073 0.51446945 0.2347103682 0 0.2508201819
33.0184190061 0.51446945 0.2347103682 0 0.2508201819
34.0892425795 0.51446945 0.2347103682 0 0.2508201819
35.0542620938 0.51446945 0.2347103682 0 0.2508201819
36.0398637426 0.51446945 0.2347103682 0 0.2508201819
37.1299914874 0.51446945 0.2347103682 0 0.2508201819
38.1521747918 0.51446945 0.2347103682 0 0.2508201819
39.0907624564 0.51446945 0.2347103682 0 0.2508201819
40.0797645095 0.51446945 0.2347103682 0 0.2508201819
41.0111424943 0.51446945 0.2347103682 0 0.2508201819
42.0169382218 0.51446945 0.2347103682 0 0.2508201819
43.0660536982 0.51446945 0.2347103682 0 0.2508201819
44.1159275876 0.51446945 0.2347103682 0 0.2508201819
45.0663389797 0.51446945 0.2347103682 0 0.2508201819
46.1532451724 0.51446945 0.2347103682 0 0.2508201819
47.1112115977 0.51446945 0.2347103682 0 0.2508201819
48.0636117363 0.7643713551 0.113905265 0 0.1217233798
49.037401369 0.7643713551 0.113905265 0 0.1217233798
50.0450907712 0.7643713551 0.113905265 0 0.1217233798
51.002936962 0.7643713551 0.113905265 0 0.1217233798
52.1842240683 0.783288777 0.1047603924 0 0.1119508306
53.1038137625 0.783288777 0.1047603924 0 0.1119508306
54.1832836816 0.783288777 0.1047603924 0 0.1119508306
55.0925183785 0.783288777 0.1047603924 0 0.1119508306
56.2100922515 0.7972653166 0.0980039921 0 0.1047306913
57.115549681 0.7972653166 0.0980039921 0 0.1047306913
58.1419388005 0.7608674363 0.1391831856 0 0.0999493781
59.0340272208 0.7608674363 0.1391831856 0 0.0999493781
60.045554319 0.7608674363 0.1391831856 0 0.0999493781
61.0319787439 0.7608674363 0.1391831856 0 0.0999493781
62.0195706431 0.7608674363 0.1391831856 0 0.0999493781
63.0785467408 0.7608674363 0.1391831856 0 0.0999493781
64.2862986227 0.7830691912 0.1262610184 0 0.0906697904
65.1581027303 0.7830691912 0.1262610184 0 0.0906697904
66.1099170607 0.7539869848 0.1215718427 0 0.1244411725
67.0019806986 0.7539869848 0.1215718427 0 0.1244411725
68.1577845712 0.7539869848 0.1215718427 0 0.1244411725
69.173920669 0.7539869848 0.1215718427 0 0.1244411725
70.0524734126 0.7539869848 0.1215718427 0 0.1244411725
71.0527879412 0.7539869848 0.1215718427 0 0.1244411725
72.0745393686 0.7539869848 0.1215718427 0 0.1244411725
73.0135704872 0.7539869848 0.1215718427 0 0.1244411725
74.0474126461 0.7539869848 0.1215718427 0 0.1244411725
75.022813568 0.7539869848 0.1215718427 0 0.1244411725
76.3166340699 0.7539869848 0.1215718427 0 0.1244411725
77.0647194382 0.7888480072 0.1043446293 0 0.1068073636
78.1838546356 0.7888480072 0.1043446293 0 0.1068073636
79.2868241486 0.7888480072 0.1043446293 0 0.1068073636
80.0793182482 0.7578370384 0.1395543788 0 0.1026085828
81.0912731087 0.7493298142 0.1379409408 0 0.112729245
82.0077401058 0.7493298142 0.1379409408 0 0.112729245
83.0076822267 0.733200756 0.1564964559 0 0.1103027881
85.0083615104 0.733200756 0.1564964559 0 0.1103027881
86.1267819396 0.733200756 0.1564964559 0 0.1103027881
87.0026382383 0.733200756 0.1564964559 0 0.1103027881
88.2751710328 0.733200756 0.1564964559 0 0.1103027881
89.055500547 0.733200756 0.1564964559 0 0.1103027881
90.0442346734 0.733200756 0.1564964559 0 0.1103027881
91.0356527118 0.733200756 0.1564964559 0 0.1103027881
92.0743100195 0.733200756 0.1564964559 0 0.1103027881
93.000954552 0.733200756 0.1564964559 0 0.1103027881
